Id;Name;Type;Description;Place;Lat;Long;Link;Date;From;To
1;Evento 1;Concierto;Detalles e información relevante de Evento 1;Lugar de Evento 1;-12.0774086820222;-77.012326677216;event;2020-05-06;1;4
2;Evento 2;Concierto;Detalles e información relevante de Evento 2;Lugar de Evento 2;-12.0883511587622;-76.9746036360375;event;2020-01-19;18;21
3;Evento 3;Nocturna;Detalles e información relevante de Evento 3;Lugar de Evento 3;-12.0778029316722;-76.9674570503507;event;2020-11-10;5;13
4;Evento 4;Concierto;Detalles e información relevante de Evento 4;Lugar de Evento 4;-12.1165085410365;-77.04820281037;event;2020-01-15;0;8
5;Evento 5;Feria;Detalles e información relevante de Evento 5;Lugar de Evento 5;-12.1021545744015;-77.0352581508989;event;2020-02-17;13;20
6;Evento 6;Nocturna;Detalles e información relevante de Evento 6;Lugar de Evento 6;-12.0717876075529;-77.0226834407397;event;2020-05-23;1;12
7;Evento 7;Nocturna;Detalles e información relevante de Evento 7;Lugar de Evento 7;-12.0969307657138;-76.9726519647778;event;2020-02-17;23;23
8;Evento 8;Feria;Detalles e información relevante de Evento 8;Lugar de Evento 8;-12.0937230467307;-76.977342082328;event;2020-09-04;15;23
9;Evento 9;Nocturna;Detalles e información relevante de Evento 9;Lugar de Evento 9;-12.081636087745;-77.0446878542174;event;2020-07-11;6;6
10;Evento 10;Feria;Detalles e información relevante de Evento 10;Lugar de Evento 10;-12.1046229256754;-76.984378785482;event;2020-06-11;23;23
11;Evento 11;Feria;Detalles e información relevante de Evento 11;Lugar de Evento 11;-12.0832181791136;-77.0077024720105;event;2020-03-15;15;15
12;Evento 12;Concierto;Detalles e información relevante de Evento 12;Lugar de Evento 12;-12.1150613573561;-77.0435874910473;event;2020-08-27;2;19
13;Evento 13;Nocturna;Detalles e información relevante de Evento 13;Lugar de Evento 13;-12.068425977582;-76.9945813533269;event;2020-12-24;15;19
14;Evento 14;Nocturna;Detalles e información relevante de Evento 14;Lugar de Evento 14;-12.0968155106529;-77.0250102602953;event;2020-09-29;11;23
15;Evento 15;Feria;Detalles e información relevante de Evento 15;Lugar de Evento 15;-12.101874905102;-77.0110798506629;event;2020-04-09;22;23
16;Evento 16;Feria;Detalles e información relevante de Evento 16;Lugar de Evento 16;-12.115807837895;-76.9941498123684;event;2020-05-27;2;3
17;Evento 17;Concierto;Detalles e información relevante de Evento 17;Lugar de Evento 17;-12.0908662030855;-77.0496483359755;event;2020-02-25;4;12
18;Evento 18;Nocturna;Detalles e información relevante de Evento 18;Lugar de Evento 18;-12.1119638208194;-76.9723639632431;event;2020-07-28;15;21
19;Evento 19;Nocturna;Detalles e información relevante de Evento 19;Lugar de Evento 19;-12.1080340702599;-76.9776791755494;event;2020-09-20;23;23
20;Evento 20;Concierto;Detalles e información relevante de Evento 20;Lugar de Evento 20;-12.0899105781453;-77.0165744597387;event;2020-07-03;9;19
21;Evento 21;Concierto;Detalles e información relevante de Evento 21;Lugar de Evento 21;-12.0726025919419;-77.0377322363115;event;2020-05-20;10;12
22;Evento 22;Concierto;Detalles e información relevante de Evento 22;Lugar de Evento 22;-12.1083656021813;-77.0477091080946;event;2020-10-21;19;21
23;Evento 23;Concierto;Detalles e información relevante de Evento 23;Lugar de Evento 23;-12.0879964825768;-76.9922143875446;event;2020-12-09;17;17
24;Evento 24;Concierto;Detalles e información relevante de Evento 24;Lugar de Evento 24;-12.0907116134637;-76.9894817908555;event;2020-03-09;11;23
25;Evento 25;Concierto;Detalles e información relevante de Evento 25;Lugar de Evento 25;-12.1064083343653;-77.0358707315178;event;2020-10-19;6;18
26;Evento 26;Nocturna;Detalles e información relevante de Evento 26;Lugar de Evento 26;-12.0806207095832;-76.9729837702954;event;2020-01-31;19;20
27;Evento 27;Concierto;Detalles e información relevante de Evento 27;Lugar de Evento 27;-12.1141359359375;-77.0193541261625;event;2020-12-04;17;21
28;Evento 28;Nocturna;Detalles e información relevante de Evento 28;Lugar de Evento 28;-12.110954524034;-77.0205829608682;event;2020-01-30;14;19
29;Evento 29;Feria;Detalles e información relevante de Evento 29;Lugar de Evento 29;-12.066621113178;-77.018513204045;event;2020-11-19;12;17
30;Evento 30;Feria;Detalles e información relevante de Evento 30;Lugar de Evento 30;-12.0748637788783;-76.9837221578842;event;2020-12-05;11;11
31;Evento 31;Feria;Detalles e información relevante de Evento 31;Lugar de Evento 31;-12.0745407469461;-76.9710569632819;event;2020-06-09;2;13
32;Evento 32;Nocturna;Detalles e información relevante de Evento 32;Lugar de Evento 32;-12.0735084052231;-77.0336117628453;event;2020-04-08;9;18
33;Evento 33;Feria;Detalles e información relevante de Evento 33;Lugar de Evento 33;-12.088368641285;-77.0320987854955;event;2020-10-11;17;21
34;Evento 34;Feria;Detalles e información relevante de Evento 34;Lugar de Evento 34;-12.0764601562712;-77.0133668292775;event;2020-07-05;2;15
35;Evento 35;Concierto;Detalles e información relevante de Evento 35;Lugar de Evento 35;-12.0793618463101;-76.9847936119568;event;2020-07-31;14;21
36;Evento 36;Nocturna;Detalles e información relevante de Evento 36;Lugar de Evento 36;-12.0747068909234;-77.0286643934028;event;2020-06-14;3;12
37;Evento 37;Nocturna;Detalles e información relevante de Evento 37;Lugar de Evento 37;-12.0685156424843;-77.0096202535343;event;2020-08-03;4;11
38;Evento 38;Feria;Detalles e información relevante de Evento 38;Lugar de Evento 38;-12.0988033366709;-77.0371652245253;event;2020-08-28;1;4
39;Evento 39;Concierto;Detalles e información relevante de Evento 39;Lugar de Evento 39;-12.0888438002888;-77.0458399190547;event;2020-06-21;12;17
40;Evento 40;Feria;Detalles e información relevante de Evento 40;Lugar de Evento 40;-12.0712123080478;-76.9956241095972;event;2020-03-01;12;18
41;Evento 41;Nocturna;Detalles e información relevante de Evento 41;Lugar de Evento 41;-12.0962472270617;-77.039986739169;event;2020-01-04;19;20
42;Evento 42;Feria;Detalles e información relevante de Evento 42;Lugar de Evento 42;-12.0871716509431;-76.9988809299471;event;2020-08-18;11;20
43;Evento 43;Concierto;Detalles e información relevante de Evento 43;Lugar de Evento 43;-12.0695967074841;-76.9855852405115;event;2020-08-16;10;23
44;Evento 44;Feria;Detalles e información relevante de Evento 44;Lugar de Evento 44;-12.0694078129381;-76.9862366905001;event;2020-06-10;5;12
45;Evento 45;Nocturna;Detalles e información relevante de Evento 45;Lugar de Evento 45;-12.0652027446505;-76.9808076241924;event;2020-03-28;10;16
46;Evento 46;Nocturna;Detalles e información relevante de Evento 46;Lugar de Evento 46;-12.0897593104399;-77.0500033458187;event;2020-06-23;18;23
47;Evento 47;Concierto;Detalles e información relevante de Evento 47;Lugar de Evento 47;-12.0934463258625;-76.9694481742673;event;2020-12-15;23;23
48;Evento 48;Feria;Detalles e información relevante de Evento 48;Lugar de Evento 48;-12.0909683993284;-77.0249082721744;event;2020-10-23;4;16
49;Evento 49;Feria;Detalles e información relevante de Evento 49;Lugar de Evento 49;-12.077761093757;-77.0097741474812;event;2020-01-27;0;0
50;Evento 50;Feria;Detalles e información relevante de Evento 50;Lugar de Evento 50;-12.0773928004379;-76.9946089463292;event;2020-03-31;20;21
51;Evento 51;Feria;Detalles e información relevante de Evento 51;Lugar de Evento 51;-12.0962245954435;-76.9889013506301;event;2020-03-10;0;18
52;Evento 52;Nocturna;Detalles e información relevante de Evento 52;Lugar de Evento 52;-12.078985951563;-77.0230553147014;event;2020-01-15;6;6
53;Evento 53;Concierto;Detalles e información relevante de Evento 53;Lugar de Evento 53;-12.0738650342924;-77.0217019324424;event;2020-01-30;19;20
54;Evento 54;Concierto;Detalles e información relevante de Evento 54;Lugar de Evento 54;-12.1073349510565;-77.0379557479371;event;2020-04-10;17;23
55;Evento 55;Nocturna;Detalles e información relevante de Evento 55;Lugar de Evento 55;-12.1119368050909;-77.0427816391376;event;2020-10-13;8;20
56;Evento 56;Nocturna;Detalles e información relevante de Evento 56;Lugar de Evento 56;-12.0741529657477;-77.0147729328022;event;2020-05-18;22;22
57;Evento 57;Concierto;Detalles e información relevante de Evento 57;Lugar de Evento 57;-12.1032877144557;-77.0206566479112;event;2020-09-01;4;7
58;Evento 58;Nocturna;Detalles e información relevante de Evento 58;Lugar de Evento 58;-12.0820404923568;-76.9758110675921;event;2020-09-19;21;22
59;Evento 59;Concierto;Detalles e información relevante de Evento 59;Lugar de Evento 59;-12.1053492048837;-76.9777467268349;event;2020-10-19;7;13
60;Evento 60;Nocturna;Detalles e información relevante de Evento 60;Lugar de Evento 60;-12.082460031758;-77.0513581785077;event;2020-11-02;9;12
61;Evento 61;Feria;Detalles e información relevante de Evento 61;Lugar de Evento 61;-12.1056684688771;-76.9668620271595;event;2020-01-12;21;23
62;Evento 62;Feria;Detalles e información relevante de Evento 62;Lugar de Evento 62;-12.0743154435522;-77.022863298596;event;2020-03-04;7;15
63;Evento 63;Feria;Detalles e información relevante de Evento 63;Lugar de Evento 63;-12.1115091647751;-77.0242721932344;event;2020-07-24;13;15
64;Evento 64;Concierto;Detalles e información relevante de Evento 64;Lugar de Evento 64;-12.094432717242;-77.0065273531612;event;2020-06-07;21;21
65;Evento 65;Feria;Detalles e información relevante de Evento 65;Lugar de Evento 65;-12.1105054362399;-76.9679461616392;event;2020-03-19;19;19
66;Evento 66;Nocturna;Detalles e información relevante de Evento 66;Lugar de Evento 66;-12.1042446020988;-77.0294850578437;event;2020-11-05;3;3
67;Evento 67;Feria;Detalles e información relevante de Evento 67;Lugar de Evento 67;-12.0857132935106;-76.9802191910292;event;2020-04-15;7;8
68;Evento 68;Nocturna;Detalles e información relevante de Evento 68;Lugar de Evento 68;-12.0749625235078;-77.0353185856889;event;2020-09-02;9;23
69;Evento 69;Nocturna;Detalles e información relevante de Evento 69;Lugar de Evento 69;-12.0806349037933;-77.0461202647772;event;2020-04-13;15;18
70;Evento 70;Concierto;Detalles e información relevante de Evento 70;Lugar de Evento 70;-12.1085951447498;-76.9701722147956;event;2020-04-26;17;19
71;Evento 71;Nocturna;Detalles e información relevante de Evento 71;Lugar de Evento 71;-12.0963287613415;-76.979799510522;event;2020-05-08;0;7
72;Evento 72;Nocturna;Detalles e información relevante de Evento 72;Lugar de Evento 72;-12.0687815534483;-77.003940823929;event;2020-03-04;5;15
73;Evento 73;Nocturna;Detalles e información relevante de Evento 73;Lugar de Evento 73;-12.0954145870839;-77.0483324426575;event;2020-04-14;6;15
74;Evento 74;Nocturna;Detalles e información relevante de Evento 74;Lugar de Evento 74;-12.0753287758872;-77.0367452396061;event;2020-06-19;15;21
75;Evento 75;Feria;Detalles e información relevante de Evento 75;Lugar de Evento 75;-12.0737772024386;-76.9925527672639;event;2020-06-18;19;23
76;Evento 76;Concierto;Detalles e información relevante de Evento 76;Lugar de Evento 76;-12.0834134940064;-76.9663967070286;event;2020-07-01;17;18
77;Evento 77;Feria;Detalles e información relevante de Evento 77;Lugar de Evento 77;-12.1083234649957;-76.9734702059853;event;2020-05-05;21;22
78;Evento 78;Feria;Detalles e información relevante de Evento 78;Lugar de Evento 78;-12.0833196391014;-77.0185731281417;event;2020-09-30;3;20
79;Evento 79;Concierto;Detalles e información relevante de Evento 79;Lugar de Evento 79;-12.0857210730757;-77.0245074178332;event;2020-08-30;9;21
80;Evento 80;Concierto;Detalles e información relevante de Evento 80;Lugar de Evento 80;-12.1044443245674;-76.9895185580121;event;2020-01-20;20;22
81;Evento 81;Nocturna;Detalles e información relevante de Evento 81;Lugar de Evento 81;-12.1112718120456;-76.9959755851395;event;2020-03-23;10;10
82;Evento 82;Concierto;Detalles e información relevante de Evento 82;Lugar de Evento 82;-12.1088948528107;-76.9941859819853;event;2020-05-18;1;14
83;Evento 83;Nocturna;Detalles e información relevante de Evento 83;Lugar de Evento 83;-12.0788252236588;-76.9892357498983;event;2020-09-17;13;15
84;Evento 84;Nocturna;Detalles e información relevante de Evento 84;Lugar de Evento 84;-12.1076936602407;-77.0317639049558;event;2020-09-06;21;23
85;Evento 85;Nocturna;Detalles e información relevante de Evento 85;Lugar de Evento 85;-12.1087809965409;-76.989431807851;event;2020-06-17;3;8
86;Evento 86;Feria;Detalles e información relevante de Evento 86;Lugar de Evento 86;-12.071887953376;-77.0259654099037;event;2020-06-02;7;12
87;Evento 87;Concierto;Detalles e información relevante de Evento 87;Lugar de Evento 87;-12.0853400112706;-77.039679325547;event;2020-12-04;6;13
88;Evento 88;Concierto;Detalles e información relevante de Evento 88;Lugar de Evento 88;-12.1101921173456;-76.9792337312836;event;2020-07-31;13;20
89;Evento 89;Nocturna;Detalles e información relevante de Evento 89;Lugar de Evento 89;-12.0774405685149;-77.0186132744245;event;2020-05-30;22;22
90;Evento 90;Feria;Detalles e información relevante de Evento 90;Lugar de Evento 90;-12.0687908789956;-77.0315620445815;event;2020-12-14;11;17
91;Evento 91;Nocturna;Detalles e información relevante de Evento 91;Lugar de Evento 91;-12.1147212937423;-76.9721691445649;event;2020-01-30;8;9
92;Evento 92;Nocturna;Detalles e información relevante de Evento 92;Lugar de Evento 92;-12.1145602573802;-77.0489066608577;event;2020-10-09;13;16
93;Evento 93;Feria;Detalles e información relevante de Evento 93;Lugar de Evento 93;-12.075143344865;-76.9660834534124;event;2020-09-21;11;12
94;Evento 94;Feria;Detalles e información relevante de Evento 94;Lugar de Evento 94;-12.0979639284281;-77.0316698463494;event;2020-04-30;11;22
95;Evento 95;Concierto;Detalles e información relevante de Evento 95;Lugar de Evento 95;-12.0805174008413;-76.9963759327819;event;2020-05-15;2;22
96;Evento 96;Feria;Detalles e información relevante de Evento 96;Lugar de Evento 96;-12.1095370435354;-76.9671690173869;event;2020-02-27;6;14
97;Evento 97;Concierto;Detalles e información relevante de Evento 97;Lugar de Evento 97;-12.1091927293501;-76.9931071526575;event;2020-08-18;18;21
98;Evento 98;Concierto;Detalles e información relevante de Evento 98;Lugar de Evento 98;-12.0836178504754;-76.9823790040881;event;2020-05-03;20;23
99;Evento 99;Concierto;Detalles e información relevante de Evento 99;Lugar de Evento 99;-12.0724085466456;-76.9776933158548;event;2020-11-19;9;10
100;Evento 100;Nocturna;Detalles e información relevante de Evento 100;Lugar de Evento 100;-12.0972280947956;-76.9896957402893;event;2020-03-23;18;21
101;Evento 101;Feria;Detalles e información relevante de Evento 101;Lugar de Evento 101;-12.0750964443463;-77.0186950855293;event;2020-07-08;0;1
102;Evento 102;Nocturna;Detalles e información relevante de Evento 102;Lugar de Evento 102;-12.0649748380333;-77.0418369724689;event;2020-02-10;23;23
103;Evento 103;Nocturna;Detalles e información relevante de Evento 103;Lugar de Evento 103;-12.0789774208387;-76.9865278737748;event;2020-04-18;13;20
104;Evento 104;Concierto;Detalles e información relevante de Evento 104;Lugar de Evento 104;-12.1112969201873;-77.0445716875171;event;2020-10-01;4;4
105;Evento 105;Nocturna;Detalles e información relevante de Evento 105;Lugar de Evento 105;-12.1121695443768;-77.0382746958677;event;2020-12-18;5;8
106;Evento 106;Concierto;Detalles e información relevante de Evento 106;Lugar de Evento 106;-12.089885903107;-77.0164404688086;event;2020-11-01;13;13
107;Evento 107;Concierto;Detalles e información relevante de Evento 107;Lugar de Evento 107;-12.0675767025204;-77.0109279792488;event;2020-11-06;11;16
