Type;Lat;Long;Intensity;Date;From;To
Issue;-12.1055141909057;-77.0112211987395;4;2020-08-09;19;20
Issue;-12.0810257555708;-77.0022561425859;3;2020-05-05;4;16
Density;-12.1048760439019;-77.0512048136904;2;2020-09-11;2;6
Issue;-12.1061044304722;-77.0061824384129;3;2020-03-23;6;16
Issue;-12.0864179695422;-76.9964235430845;1;2020-10-23;9;15
Density;-12.1050141612139;-77.0110099823795;4;2020-09-20;0;16
Issue;-12.0992331596605;-76.9999011060805;3;2020-11-05;15;21
Issue;-12.078513371519;-76.9932524480713;4;2020-09-23;23;23
Issue;-12.0775542749848;-77.0313860305261;5;2020-03-11;2;7
Issue;-12.0879054923237;-77.044874883206;1;2020-10-04;11;13
Density;-12.0708455473547;-77.002482854376;3;2020-04-14;0;18
Issue;-12.0917850300845;-77.0182861747232;5;2020-10-02;20;21
Issue;-12.0849957534296;-77.0406396904809;4;2020-06-03;18;20
Issue;-12.115853041742;-77.0385244419208;1;2020-07-19;18;20
Issue;-12.0763774603164;-77.0288737514608;3;2020-02-25;1;8
Issue;-12.1117911736872;-77.0411281947499;1;2020-04-09;19;19
Issue;-12.0777600917359;-76.9929607797628;4;2020-03-04;17;20
Issue;-12.0841228812752;-77.0111461343482;5;2020-02-29;17;20
Issue;-12.0785194586302;-77.0279082156879;3;2020-01-20;2;3
Density;-12.0856152978184;-77.0000507767829;4;2020-01-23;15;17
Density;-12.1007708009512;-77.0049636896353;4;2020-11-11;14;18
Density;-12.0887423429853;-76.9688243755459;4;2020-07-18;20;23
Issue;-12.11523093544;-77.03956330462;3;2020-02-22;2;19
Issue;-12.0896646846924;-77.0407250597513;3;2020-02-14;13;20
Issue;-12.0651845008127;-76.9790378347254;4;2020-09-09;12;12
Issue;-12.0786470351296;-77.0212358225551;1;2020-07-26;15;16
Density;-12.1091415403703;-77.0104691865292;4;2020-02-06;3;12
Issue;-12.084127302957;-77.0509824626353;2;2020-01-26;5;7
Density;-12.0888835490081;-77.0045742549149;3;2020-11-21;3;15
Density;-12.0893788277607;-77.0311924042856;1;2020-02-03;9;23
Issue;-12.098141682883;-77.0442333232244;4;2020-12-20;11;11
Issue;-12.0928164175083;-77.0406318468263;4;2020-06-19;20;23
Density;-12.0989963039376;-77.0066027596386;1;2020-06-25;12;13
Issue;-12.11365248618;-77.0332684336304;1;2020-03-16;19;21
Issue;-12.0892939983169;-77.0350894684844;1;2020-02-21;5;22
Density;-12.0897287398258;-77.0109976210478;5;2020-03-15;0;7
Issue;-12.0702167400806;-77.0159911040797;4;2020-05-04;6;8
Issue;-12.1004143062863;-76.9839906284515;2;2020-07-07;0;9
Issue;-12.066720398199;-77.0391806128887;3;2020-07-14;12;19
Issue;-12.1129977685488;-77.0490605667442;3;2020-06-24;21;21
Issue;-12.088569927152;-77.0077737605438;5;2020-01-12;23;23
Density;-12.0819917884814;-76.9869256496006;3;2020-03-09;0;22
Issue;-12.1025394164716;-76.9703753572699;1;2020-10-21;18;18
Issue;-12.1076411138789;-77.0225908393791;1;2020-09-28;4;13
Density;-12.1014705283108;-77.0006012954544;4;2020-06-20;7;8
Density;-12.0773829593626;-77.0330097758984;5;2020-09-28;0;0
Density;-12.0925239220068;-76.9678278080316;4;2020-06-17;0;2
Density;-12.1002018884543;-76.9828463122978;1;2020-08-29;2;9
Issue;-12.1060597385218;-77.0131286413673;4;2020-04-01;11;21
Density;-12.0681609328789;-76.977715938454;5;2020-12-03;3;11
Density;-12.1128502987962;-77.0466569581859;2;2020-08-06;20;23
Issue;-12.0914853915588;-76.9723971431619;2;2020-12-24;13;13
Density;-12.0785361732842;-76.9999524082601;2;2020-01-05;17;18
Density;-12.1055925331468;-77.0350193848582;1;2020-07-15;15;16
Issue;-12.0802470158235;-76.985059325468;5;2020-03-30;11;17
Issue;-12.071191842112;-77.028362855182;4;2020-04-13;16;16
Issue;-12.0808546909877;-76.9753640387519;1;2020-12-15;10;15
Issue;-12.0932342912527;-76.9725861212919;5;2020-03-29;9;22
Density;-12.1010186872992;-77.0219388156534;3;2020-08-11;10;16
Density;-12.0847873840034;-77.0045248795507;4;2020-07-31;18;22
Density;-12.1009743265776;-76.9782206114057;4;2020-12-03;21;22
